Name,ValidRoles,PopRole,WRate,PickRate,RolePerc,BanPerc
Graves,JUNGLE,JUNGLE,50.28,6.8,86.1,6.1899999999999995
Gwen,TOP,TOP,50.58,2.8699999999999997,79.48,0.98
Hecarim,JUNGLE,JUNGLE,49.89,7.54,98.14,30.779999999999998
Heimerdinger,"SUPPORT,TOP,MIDDLE",SUPPORT,51.99,3.51,72.82,6.83
Illaoi,TOP,TOP,52.760000000000005,3.62,92.89,3.82
Irelia,"TOP,MIDDLE",MID,50.6,6,51.730000000000004,15.62
Ivern,JUNGLE,JUNGLE,53.39,1.04,77.74000000000001,0.37
Janna,SUPPORT,SUPPORT,53.39,5.89,98.57,2.22
"Jarvan IV",JUNGLE,JUNGLE,50.87,2.03,83.9,0.21000000000000002
Jax,"TOP,JUNGLE",TOP,50.64,6.26,87.46000000000001,8.04
Jayce,"TOP,MIDDLE",TOP,50.44,2.3099999999999996,78.53,0.31
Jhin,BOTTOM,ADC,52.42,15.639999999999999,94.94000000000001,2.29
Jinx,BOTTOM,ADC,51.760000000000005,7.319999999999999,99.14,0.39
K'Sante,TOP,TOP,50.36,9.15,91.05,18.77
Kai'Sa,BOTTOM,ADC,51.839999999999996,20.77,97.22,4.85
Kalista,BOTTOM,ADC,49.2,2.77,92.66999999999999,0.6599999999999999
Karma,"MIDDLE,SUPPORT,TOP",SUPPORT,50.260000000000005,8.42,82.64999999999999,2.75
Karthus,JUNGLE,JUNGLE,48.09,1.5,54.42,1.1800000000000002
Kassadin,MIDDLE,MID,53.99,7.94,97.02,13.65
Katarina,MIDDLE,MID,50.190000000000005,8.950000000000001,94.21000000000001,9.450000000000001
Kayle,TOP,TOP,51.71,2.34,81.36,0.53
Kayn,JUNGLE,JUNGLE,49.190000000000005,7.56,95.98,7.56
Kennen,TOP,TOP,48.27,1.12,72.64999999999999,0.32
Kha'Zix,JUNGLE,JUNGLE,51.730000000000004,5.79,97.44000000000001,2.3699999999999997
Kindred,JUNGLE,JUNGLE,51.6,6.22,96.35,6.85
Kled,TOP,TOP,52.839999999999996,1.8900000000000001,85.41000000000001,0.8200000000000001
Kog'Maw,BOTTOM,ADC,52.17,2.4499999999999997,90.51,0.48000000000000004
LeBlanc,MIDDLE,MID,48.89,3.48,89.71000000000001,4.89
"Lee Sin",JUNGLE,JUNGLE,48.17,10.26,87.91000000000001,4.54
Leona,SUPPORT,SUPPORT,50.74,4.76,98.1,5.05
Lillia,JUNGLE,JUNGLE,51.839999999999996,5.119999999999999,87.98,4.99
Lissandra,MIDDLE,MID,50.86,2.36,90.53,0.88
Lucian,BOTTOM,ADC,51.43,11.01,93.09,4.09
Lulu,SUPPORT,SUPPORT,51.51,10.629999999999999,96.76,14.83
Lux,"MIDDLE,SUPPORT",SUPPORT,50.9,11.11,65.46000000000001,5.09
Malphite,"TOP,MIDDLE,SUPPORT",TOP,51.68,2.86,67.73,1.97
Malzahar,MIDDLE,MID,51.25,4.74,88.67999999999999,3.8499999999999996
Maokai,"SUPPORT,JUNGLE",JUNGLE,54.68,2.01,42.61,0.92
"Master Yi",JUNGLE,JUNGLE,52.43,6.64,92.57,17.56
"Miss Fortune",BOTTOM,ADC,50.61,6.53,87.36,1.36
Mordekaiser,TOP,TOP,52.4,7.42,57.13,18.130000000000003
Morgana,SUPPORT,SUPPORT,50.839999999999996,6.34,88.78,29.01
Nami,SUPPORT,SUPPORT,53.36,13.139999999999999,99.63,4.04
Nasus,TOP,TOP,51.64,4.44,80.23,3.8
Nautilus,SUPPORT,SUPPORT,50.290000000000006,6.54,96.82,9.51
Neeko,"MIDDLE,SUPPORT",MID,51.49,1.12,49.8,0.22
Nidalee,JUNGLE,JUNGLE,50.14,2.75,88.22,0.91
Nilah,BOTTOM,ADC,53.78,4.4,96.58,9.67
Nocturne,JUNGLE,JUNGLE,53.120000000000005,2.9699999999999998,89.64999999999999,1.22
Olaf,TOP,TOP,53.86,2.24,79.21000000000001,1.49
Orianna,MIDDLE,MID,50.760000000000005,1.91,91.71000000000001,0.15000000000000002
Ornn,TOP,TOP,50.65,3.5,90.58,0.75
Pantheon,"TOP,SUPPORT,JUNGLE,MIDDLE",SUPPORT,46.7,2.15,34.660000000000004,0.99
Poppy,"TOP,JUNGLE",JUNGLE,49.86,1.23,47.98,0.77
Pyke,SUPPORT,SUPPORT,49.15,8.49,93.6,13.4
Qiyana,MIDDLE,MID,48.660000000000004,3.13,80.57,1.1600000000000001
Quinn,TOP,TOP,52.49,1.1700000000000002,72.32,0.53
Rakan,SUPPORT,SUPPORT,52.260000000000005,3.38,98.02,0.21000000000000002
Rammus,JUNGLE,JUNGLE,53.36,5.46,88.29,18.18
Rek'Sai,JUNGLE,JUNGLE,50.99,1.6,93.46000000000001,1.08
Rell,SUPPORT,SUPPORT,53.8,1.94,98.57,0.43000000000000005
"Renata Glasc",SUPPORT,SUPPORT,52.77,4.72,99.11,3.4299999999999997
Renekton,TOP,TOP,49.290000000000006,3.9,80.94000000000001,2.5
Rengar,"JUNGLE,TOP",JUNGLE,50.6,4.51,73.79,5.08
Riven,TOP,TOP,51.08,4.99,87.77,1.48
Rumble,"TOP,MIDDLE",MID,50.849999999999994,1.27,47.24,0.48000000000000004
Ryze,MIDDLE,MID,48.160000000000004,2.86,81.48,0.25
Samira,BOTTOM,ADC,52.96,10.47,97.67999999999999,21.08
Sejuani,JUNGLE,JUNGLE,50.63,3.88,75.64,1.31
Senna,"BOTTOM,SUPPORT",SUPPORT,50.32,6,92.63,2.3
Seraphine,"BOTTOM,SUPPORT",SUPPORT,50.86,3.74,66.98,1.11
Sett,TOP,TOP,50.1,7.02,78.41000000000001,4.07
Shaco,"JUNGLE,SUPPORT",JUNGLE,49.52,5.91,77.76,12.18
Shen,"TOP,SUPPORT",TOP,53.18,4.24,83.41000000000001,0.8700000000000001
Shyvana,JUNGLE,JUNGLE,51.949999999999996,1.8,78.85,0.51
Singed,TOP,TOP,52.379999999999995,2.09,67.63,0.49
Sion,TOP,TOP,48.86,4.34,78.84,1.2
Sivir,BOTTOM,ADC,51.33,3.4899999999999998,97.74000000000001,0.74
Skarner,"JUNGLE,TOP",JUNGLE,52.74,0.8300000000000001,76.02,0.15000000000000002
Sona,SUPPORT,SUPPORT,53.98,3.68,97.4,0.21000000000000002
Soraka,SUPPORT,SUPPORT,52.9,6.7700000000000005,95.52,3.57
Swain,"SUPPORT,MIDDLE",SUPPORT,50.41,4.35,51.8,3.63
Sylas,"MIDDLE,TOP",JUNGLE,50.33,10.31,54.94,20.09
Syndra,MIDDLE,MID,50.339999999999996,6.49,87.22,6.6499999999999995
"Tahm Kench","TOP,SUPPORT",TOP,49,2.27,61.949999999999996,1.01
Taliyah,"JUNGLE,MIDDLE",MID,54.2,0.99,42.730000000000004,0.4
Talon,"MIDDLE,JUNGLE",MID,50.94,3.7600000000000002,69.88,1.1300000000000001
Taric,"SUPPORT,MIDDLE",SUPPORT,52.730000000000004,1.7,82.72,0.31
Teemo,"TOP,JUNGLE,SUPPORT",TOP,49.92,3.72,73.49000000000001,3.7800000000000002
Thresh,SUPPORT,SUPPORT,50.04,10.68,98.71000000000001,2.56
Tristana,"BOTTOM,MIDDLE",ADC,52.75,6.79,86.28,2.07
Trundle,"TOP,JUNGLE",JUNGLE,49.83,1.79,69.91000000000001,1.6700000000000002
Tryndamere,TOP,TOP,50.8,2.52,72.63,2.46
"Twisted Fate","MIDDLE,BOTTOM,TOP",MID,49.43,2.11,88.13,0.11
Twitch,"BOTTOM,SUPPORT",ADC,52.97,6.48,57.4,8.739999999999998
Udyr,"TOP,JUNGLE",JUNGLE,52.53,7.45,88.24000000000001,30.82
Urgot,TOP,TOP,50.89,2.3099999999999996,87.48,0.6799999999999999
Varus,BOTTOM,ADC,51.27,8.7,78.36999999999999,4.42
Vayne,"BOTTOM,TOP",ADC,51.5,7.96,83.67999999999999,8.6
Veigar,"MIDDLE,SUPPORT",MID,50.690000000000005,3.11,68.94000000000001,1.32
Vel'Koz,"SUPPORT,MIDDLE",SUPPORT,51.01,2.08,65.44000000000001,0.4
Vex,MIDDLE,MID,53.07,4.95,94.33,8.47
Vi,JUNGLE,JUNGLE,54.660000000000004,4.1899999999999995,94.08,0.8200000000000001
Viego,JUNGLE,JUNGLE,49.6,7.1,85.53,3.4
Viktor,MIDDLE,MID,52.49,6.45,94.28,3.8899999999999997
Vladimir,"MIDDLE,TOP",MID,51.720000000000006,4.22,75.79,6
Volibear,"TOP,JUNGLE",TOP,49.28,1.81,54.67,0.9500000000000001
Warwick,"JUNGLE,TOP",JUNGLE,52.97,4.99,62.99,3.7
Wukong,"JUNGLE,TOP",JUNGLE,53.4,3.51,70.72,2.24
Xayah,BOTTOM,ADC,50.63,4.34,98.73,0.38
Xerath,"MIDDLE,SUPPORT",SUPPORT,50.290000000000006,3.48,71.27,1.81
"Xin Zhao",JUNGLE,JUNGLE,51.82,1.75,81.52,0.28
Yasuo,"TOP,MIDDLE,BOTTOM",MID,49.08,11.06,70.13,17.32
Yone,"TOP,MIDDLE",MID,50.25,8.12,62.760000000000005,11.09
Yorick,TOP,TOP,50.790000000000006,2.16,89.81,1.71
Yuumi,SUPPORT,SUPPORT,48.14,10.59,99.03,35.58
Zac,"JUNGLE,TOP,SUPPORT",JUNGLE,52.86,4.57,65.02,4.2
Zed,"MIDDLE,JUNGLE",MID,51,13.01,72.38,50.98
Zeri,BOTTOM,ADC,51.13,9.83,93.66,4.18
Ziggs,"BOTTOM,MIDDLE",MID,51.64,1.28,53.09,0.22
Zilean,SUPPORT,SUPPORT,52.59,3.9499999999999997,80.98,2.21
Zoe,MIDDLE,MID,49.32,3.11,83.57,1.04
Zyra,SUPPORT,SUPPORT,52.11,3.07,91.74000000000001,1.6600000000000001
